feature,outlierCount,outlierCount%,level,mi
UNMAPPED,50,14.204545454545455,1,0.007534505500535804
UNINTEGRATED,31,8.806818181818182,1,0.0
UNINTEGRATED|g__Clostridium.s__Clostridium_cochlearium,0,0.0,4,0.007449518058814553
UNINTEGRATED|g__Clostridium.s__Clostridium_gasigenes,0,0.0,4,0.0
UNINTEGRATED|g__Clostridium.s__Clostridium_haemolyticum,0,0.0,4,0.0
UNINTEGRATED|g__Clostridium.s__Clostridium_novyi,0,0.0,4,0.008262951680271247
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens,93,26.420454545454547,4,0.06235500617894996
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_221,0,0.0,6,0.02093638140241172
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_ammoniagenes,0,0.0,4,0.03196722814242747
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_stationis,0,0.0,4,0.0
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_tuberculostearicum,0,0.0,4,0.0
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes,0,0.0,4,0.0343619044626049
UNINTEGRATED|g__Desmospora.s__Desmospora_sp_8437,0,0.0,5,0.03671986332865429
UNINTEGRATED|g__Enterococcus.s__Enterococcus_avium,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_casseliflavus,0,0.0,4,0.03746762952391758
UNINTEGRATED|g__Enterococcus.s__Enterococcus_cecorum,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_devriesei,0,0.0,4,0.004587162331129324
UNINTEGRATED|g__Enterococcus.s__Enterococcus_durans,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium,0,0.0,4,0.030250832097698188
UNINTEGRATED|g__Enterococcus.s__Enterococcus_gallinarum,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_gilvus,0,0.0,4,0.018603287880206265
UNINTEGRATED|g__Enterococcus.s__Enterococcus_hermanniensis,0,0.0,4,0.006501873320085894
UNINTEGRATED|g__Enterococcus.s__Enterococcus_hirae,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_malodoratus,0,0.0,4,0.0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_pseudoavium,0,0.0,4,0.0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli,0,0.0,4,0.0
UNINTEGRATED|g__Flavobacterium.s__Flavobacterium_psychrophilum,0,0.0,4,0.0
UNINTEGRATED|g__Floricoccus.s__Floricoccus_penangensis,0,0.0,4,0.0
UNINTEGRATED|g__Floricoccus.s__Floricoccus_tropicus,0,0.0,4,0.0
UNINTEGRATED|g__Geobacillus.s__Geobacillus_galactosidasius,0,0.0,4,0.00632795208222281
UNINTEGRATED|g__Glutamicibacter.s__Glutamicibacter_sp_BW77,0,0.0,5,0.01624817721563976
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_sp_An232A,0,0.0,5,0.02898090771341355
UNINTEGRATED|g__Hafnia.s__Hafnia_alvei,0,0.0,4,0.0005088663832057971
UNINTEGRATED|g__Herbaspirillum.s__Herbaspirillum_sp,0,0.0,4,0.0
UNINTEGRATED|g__Kroppenstedtia.s__Kroppenstedtia_eburnea,0,0.0,4,0.0
UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An118,0,0.0,5,0.02366141027357238
UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An76,0,0.0,5,0.050314253531022146
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_acetotolerans,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_amylolyticus,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_amylovorus,65,18.46590909090909,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_aviarius,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_coleohominis,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_coryniformis,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_crispatus,75,21.306818181818183,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_curvatus,120,34.09090909090909,4,0.0007314430742639821
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_farciminis,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_fermentum,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_fuchuensis,0,0.0,4,0.005095886335555688
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_gallinarum,87,24.71590909090909,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii,44,12.5,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_kitasatonis,51,14.488636363636363,4,0.023696678252966175
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_oris,0,0.0,4,0.006702962799365553
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_paralimentarius,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_pontis,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri,0,0.0,4,0.0014229037943778167
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_saerimneri,0,0.0,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_sakei,107,30.397727272727273,4,0.0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_salivarius,110,31.25,4,0.0423114008433334
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_vaginalis,0,0.0,4,0.009333420913492985
UNINTEGRATED|g__Lactococcus.s__Lactococcus_garvieae,76,21.59090909090909,4,0.05072596860603862
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis,73,20.738636363636363,4,0.03264963233486018
UNINTEGRATED|g__Lactococcus.s__Lactococcus_petauri,0,0.0,4,0.004593272903142154
UNINTEGRATED|g__Lactococcus.s__Lactococcus_piscium,0,0.0,4,0.010068635649279178
UNINTEGRATED|g__Lactococcus.s__Lactococcus_raffinolactis,0,0.0,4,0.0
UNINTEGRATED|g__Lelliottia.s__Lelliottia_amnigena,0,0.0,4,0.014217805486127943
UNINTEGRATED|g__Listeria.s__Listeria_monocytogenes,0,0.0,4,0.0
UNINTEGRATED|g__Lysinibacillus.s__Lysinibacillus_sp_BF_4,0,0.0,5,0.01456842355543797
UNINTEGRATED|g__Lysinibacillus.s__Lysinibacillus_sphaericus,0,0.0,4,0.0
UNINTEGRATED|g__Lysinibacillus.s__Lysinibacillus_varians,0,0.0,4,0.027333112655876235
UNINTEGRATED|g__Macrococcus.s__Macrococcus_caseolyticus,0,0.0,4,0.04042421607649249
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_woesei,0,0.0,4,0.02344013361963082
UNINTEGRATED|g__Mycobacterium.s__Mycobacterium_sp_YC_RL4,0,0.0,6,0.0
UNINTEGRATED|g__Mycolicibacter.s__Mycolicibacter_minnesotensis,0,0.0,4,0.0
UNINTEGRATED|g__Obesumbacterium.s__Obesumbacterium_proteus,0,0.0,4,0.0
UNINTEGRATED|g__Oceanobacillus.s__Oceanobacillus_caeni,0,0.0,4,0.00994911174751989
UNINTEGRATED|g__Paeniclostridium.s__Paeniclostridium_sordellii,0,0.0,4,0.0
UNINTEGRATED|g__Paraclostridium.s__Paraclostridium_bifermentans,0,0.0,4,0.0001065108590738717
UNINTEGRATED|g__Parageobacillus.s__Parageobacillus_toebii,0,0.0,4,0.03469323899881083
UNINTEGRATED|g__Pediococcus.s__Pediococcus_acidilactici,0,0.0,4,0.0
UNINTEGRATED|g__Peptostreptococcus.s__Peptostreptococcus_russellii,72,20.454545454545453,4,0.0
UNINTEGRATED|g__Ralstonia.s__Ralstonia_pickettii,0,0.0,4,0.005587475294193123
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_enclensis,0,0.0,4,0.0
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_erythropolis,0,0.0,4,0.0
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_fascians,0,0.0,4,0.02145083829222627
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_qingshengii,0,0.0,4,0.0
UNINTEGRATED|g__Rhodococcus.s__Rhodococcus_sp_EPR_157,0,0.0,6,0.02249262919791417
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis,0,0.0,4,0.0
UNINTEGRATED|g__Rothia.s__Rothia_sp,0,0.0,4,0.0
UNINTEGRATED|g__Salmonella.s__Salmonella_enterica,0,0.0,4,0.002942607427262045
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_agnetis,0,0.0,4,0.019145510700366186
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_arlettae,0,0.0,4,0.016841256533647764
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus,0,0.0,4,0.0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_chromogenes,0,0.0,4,0.024942920867403906
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_cohnii,0,0.0,4,0.0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_condimenti,0,0.0,4,0.01681674946590772
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_epidermidis,0,0.0,4,0.02449228536116932
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_equorum,0,0.0,4,0.0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_lentus,0,0.0,4,0.04258072999349838
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_nepalensis,0,0.0,4,0.0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_piscifermentans,138,39.20454545454545,4,0.02060963874042554
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_saprophyticus,0,0.0,4,0.0
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_simulans,0,0.0,4,0.00861012917644599
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_xylosus,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_dysgalactiae_group,62,17.613636363636363,5,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_equinus,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_gallolyticus,0,0.0,4,0.023054884142437837
UNINTEGRATED|g__Streptococcus.s__Streptococcus_henryi,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantarius,0,0.0,4,9.035904865450917e-06
UNINTEGRATED|g__Streptococcus.s__Streptococcus_iniae,115,32.67045454545455,4,0.004416905176631847
UNINTEGRATED|g__Streptococcus.s__Streptococcus_lutetiensis,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_macedonicus,0,0.0,4,0.0038807969041336765
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parauberis,68,19.318181818181817,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pasteurianus,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pluranimalium,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius,0,0.0,4,0.0031694460136997282
UNINTEGRATED|g__Streptococcus.s__Streptococcus_suis,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_uberis,0,0.0,4,0.0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_varani,0,0.0,4,0.018213976459376502
UNINTEGRATED|g__Turicibacter.s__Turicibacter_sanguinis,0,0.0,4,0.013609864024065388
UNINTEGRATED|g__Vagococcus.s__Vagococcus_fluvialis,0,0.0,4,0.0
UNINTEGRATED|g__Vagococcus.s__Vagococcus_lutrae,0,0.0,4,0.006600994488250356
UNINTEGRATED|g__Weissella.s__Weissella_ceti,0,0.0,4,0.004860682984306086
UNINTEGRATED|g__Weissella.s__Weissella_confusa,0,0.0,4,0.0
UNINTEGRATED|g__Weissella.s__Weissella_jogaejeotgali,0,0.0,4,0.0
UNINTEGRATED|g__Weissella.s__Weissella_paramesenteroides,0,0.0,4,0.013128341407872446
UNINTEGRATED|g__Weissella.s__Weissella_thailandensis,0,0.0,4,0.02860749918268679
UNINTEGRATED|unclassified,86,24.431818181818183,2,0.0
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0.0,1,0.0
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation|unclassified",0,0.0,2,0.012935832843145922
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation",0,0.0,1,0.0
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation|unclassified",0,0.0,2,0.04168259634633409
1CMET2-PWY: folate transformations III (E. coli),39,11.079545454545455,2,0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Aeromonas.s__Aeromonas_bestiarum,0,0.0,5,0.0056272953913198975
1CMET2-PWY: folate transformations III (E. coli)|g__Aeromonas.s__Aeromonas_diversa,0,0.0,5,0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Aeromonas.s__Aeromonas_rivipollensis,0,0.0,5,0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Aeromonas.s__Aeromonas_sobria,0,0.0,5,0.047981761205671214
1CMET2-PWY: folate transformations III (E. coli)|g__Aeromonas.s__Aeromonas_veronii,0,0.0,5,0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Hafnia.s__Hafnia_alvei,0,0.0,5,0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Obesumbacterium.s__Obesumbacterium_proteus,0,0.0,5,0.08635467333764257
1CMET2-PWY: folate transformations III (E. coli)|g__Ralstonia.s__Ralstonia_pickettii,0,0.0,5,0.001377645009864148
1CMET2-PWY: folate transformations III (E. coli)|g__Staphylococcus.s__Staphylococcus_saprophyticus,0,0.0,5,0.0
1CMET2-PWY: folate transformations III (E. coli)|unclassified,40,11.363636363636363,3,0.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0,0.0,1,0.029470824560990705
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified,0,0.0,2,0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0,0.0,1,0.03746469830153565
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified,0,0.0,2,0.04550841872516531
ANAEROFRUCAT-PWY: homolactic fermentation,23,6.534090909090909,1,0.025068296924011912
ANAEROFRUCAT-PWY: homolactic fermentation|g__Hafnia.s__Hafnia_alvei,0,0.0,4,0.025681230631501295
ANAEROFRUCAT-PWY: homolactic fermentation|g__Obesumbacterium.s__Obesumbacterium_proteus,0,0.0,4,0.0
ANAEROFRUCAT-PWY: homolactic fermentation|g__Streptococcus.s__Streptococcus_parauberis,72,20.454545454545453,4,0.02843084093841841
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified,39,11.079545454545455,2,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),22,6.25,1,0.033918174362714604
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_bestiarum,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_diversa,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_hydrophila,0,0.0,4,0.003242001602014488
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_rivipollensis,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_sobria,0,0.0,4,0.0078629579868561
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Aeromonas.s__Aeromonas_veronii,0,0.0,4,0.01822820133033476
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Carnobacterium.s__Carnobacterium_maltaromaticum,0,0.0,4,0.013363494244997165
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_perfringens,77,21.875,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_avium,0,0.0,4,0.014885044979026096
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_devriesei,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_faecium,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_gilvus,0,0.0,4,0.024165477624091602
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_hermanniensis,0,0.0,4,0.03912124890676316
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterococcus.s__Enterococcus_malodoratus,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Hafnia.s__Hafnia_alvei,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactobacillus.s__Lactobacillus_curvatus,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactobacillus.s__Lactobacillus_sakei,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_garvieae,76,21.59090909090909,4,0.02215989523337547
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_lactis,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lactococcus.s__Lactococcus_petauri,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Obesumbacterium.s__Obesumbacterium_proteus,0,0.0,4,0.029339797470584017
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Paeniclostridium.s__Paeniclostridium_sordellii,0,0.0,4,0.02127480511101254
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_cohnii,0,0.0,4,0.011797812235188943
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_condimenti,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_equorum,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_nepalensis,0,0.0,4,0.022218329317597485
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_piscifermentans,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_saprophyticus,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_dysgalactiae_group,79,22.443181818181817,5,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_equinus,0,0.0,4,0.005200191454187486
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_gallolyticus,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_infantarius,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_lutetiensis,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_macedonicus,0,0.0,4,0.001953191717216196
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_parauberis,65,18.46590909090909,4,0.018393544583070298
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_pasteurianus,0,0.0,4,0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified,56,15.909090909090908,2,0.003459246948199768
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,37,10.511363636363637,1,0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified,0,0.0,2,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0.0,1,0.03795283125216664
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Hafnia.s__Hafnia_alvei",0,0.0,4,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Obesumbacterium.s__Obesumbacterium_proteus",0,0.0,4,0.05345918760887414
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified",0,0.0,2,0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,64,18.181818181818183,1,0.008131417343865577
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lactococcus.s__Lactococcus_lactis,0,0.0,4,0.045423259161243124
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Ralstonia.s__Ralstonia_pickettii,0,0.0,4,0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Streptococcus.s__Streptococcus_dysgalactiae_group,0,0.0,5,0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified,122,34.65909090909091,2,0.01708164091824771
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),43,12.215909090909092,1,0.014851897595864694
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_bestiarum,0,0.0,4,0.03254888425248437
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_diversa,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_hydrophila,0,0.0,4,0.0026521584620280425
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_media,0,0.0,4,0.02734086797713231
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_rivipollensis,0,0.0,4,0.020734434352327025
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_sobria,0,0.0,4,0.021646790064109744
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Aeromonas.s__Aeromonas_veronii,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_gallinarum,0,0.0,4,0.02205849116896741
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum,0,0.0,4,0.050285970766349886
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pullorum,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004,0,0.0,5,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Carnobacterium.s__Carnobacterium_maltaromaticum,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterococcus.s__Enterococcus_gilvus,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Hafnia.s__Hafnia_alvei,0,0.0,4,0.011296109226322626
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lactococcus.s__Lactococcus_lactis,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lactococcus.s__Lactococcus_raffinolactis,0,0.0,4,0.021204577492704546
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Mycobacterium.s__Mycobacterium_sp_YC_RL4,0,0.0,6,0.05574172134216915
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Obesumbacterium.s__Obesumbacterium_proteus,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Ralstonia.s__Ralstonia_pickettii,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Staphylococcus.s__Staphylococcus_cohnii,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Staphylococcus.s__Staphylococcus_saprophyticus,0,0.0,4,0.0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified,71,20.170454545454547,2,0.0714773002098057
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),54,15.340909090909092,1,0.006764879551826475
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Aeromonas.s__Aeromonas_bestiarum,0,0.0,4,0.0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Aeromonas.s__Aeromonas_diversa,0,0.0,4,0.0
